station [id],station [status],occupancy,speed,volume
200,ok,15.222221,68.89951,14.0
1444,ok,0.9444444,51.248524,1.0
330,ok,9.111111,72.19252,10.5
324,ok,7.7222223,58.59114,9.5
477,ok,4.0,65.22287,6.0
1608,ok,11.666667,73.90682,12.666667
1471,ok,6.416667,79.49166,6.5
1507,ok,3.7777777,68.795204,4.3333335
1781,ok,3.4166667,83.46888,5.5
141,ok,16.36111,80.90909,15.5
312,ok,4.388889,56.840134,5.5
398,ok,4.9259257,63.37345,7.0
1776,ok,1.8055556,91.062965,2.5
880,ok,5.9444447,69.230774,7.6666665
505,ok,6.0,75.812935,5.6666665
313,ok,7.4166665,66.09232,12.0
904,ok,0.7222222,61.370575,1.0
T3509,ok,4.962963,-1.0,5.6666665
781,ok,12.018519,67.0,13.333333
486,ok,5.425926,61.20041,8.333333
744,ok,8.583333,83.90292,8.0
1503,ok,8.138889,52.1324,7.5
548,ok,12.388889,64.1661,12.0
745,ok,6.4444447,66.51695,8.0
1014,ok,3.2962964,66.10672,5.6666665
1543,ok,2.9166667,91.18064,6.0
458,ok,10.694445,85.31468,12.5
466,ok,9.166667,70.05205,8.25
1400,ok,9.166667,59.627968,11.0
1357,ok,2.9074075,77.266235,3.6666667
712,ok,6.2407403,77.666664,6.3333335
498,ok,4.4444447,66.42128,6.5
527,ok,4.5277777,62.910843,6.0
1571,ok,7.9722223,68.57382,8.0
405,ok,2.0185184,70.014755,2.3333333
878,ok,4.814815,68.69463,7.0
352,ok,7.2777777,85.68823,10.0
226,ok,8.277778,58.391758,10.333333
1705,ok,14.194445,83.046776,13.0
206,ok,11.37037,58.5,14.666667
701,ok,4.111111,76.92679,4.5
19,ok,9.694445,81.82577,11.5
1069,ok,6.7037034,63.527824,8.333333
354,ok,7.8333335,68.30756,9.5
670,ok,9.25,59.840714,11.0
299,ok,8.907407,76.6429,9.666667
1119,ok,6.685185,69.172035,8.0
1496,ok,4.4444447,76.33595,6.0
1070,ok,0.90740746,92.57379,1.0
1534,ok,1.5277778,66.0,2.0
730,ok,13.861112,71.59091,15.0
249,ok,5.708333,69.9752,7.25
1728,ok,1.4722222,74.27421,2.0
1032,ok,5.3333335,77.0,7.3333335
340,ok,4.8055553,83.74559,6.0
608,ok,2.7222223,67.77877,3.0
1542,ok,5.1666665,62.190086,6.5
808,ok,7.888889,68.59694,12.0
827,ok,8.111112,73.95776,9.333333
444,ok,8.759259,85.46537,9.666667
163,ok,6.3333335,65.33979,9.75
1137,ok,10.351852,91.06791,12.333333
1527,ok,3.2592592,71.02664,3.3333333
1423,ok,6.5833335,68.995766,7.5
1500,ok,5.861111,91.83069,7.5
6,ok,12.625,63.961044,14.0
191,ok,8.541667,73.355095,10.0
1454,ok,5.9444447,67.197296,6.0
1190,ok,5.0925927,66.48264,5.6666665
251,ok,5.916667,73.92499,7.25
72,ok,6.9166665,71.73428,7.5
471,ok,4.4259257,71.64463,5.6666665
356,ok,8.222222,86.286194,10.5
609,ok,6.166667,62.536674,7.0
1508,ok,11.388888,69.704956,11.333333
452,ok,7.2777777,72.989944,8.0
696,ok,5.0370374,70.152374,6.3333335
347,ok,3.5,78.60255,4.5
1526,ok,6.814815,66.76948,7.0
402,ok,3.2037039,73.13544,5.0
1569,ok,5.1944447,89.18591,5.5
1104,ok,3.0555556,70.9893,2.5
434,ok,8.555555,58.66591,7.5
1176,ok,6.5,61.35881,5.0
978,ok,5.361111,49.825176,7.0
293,ok,4.351852,75.09086,4.6666665
1413,ok,4.75,70.1049,6.5
439,ok,10.583333,93.16116,12.5
440,ok,8.694445,73.1629,8.0
308,ok,5.75,62.925133,7.0
126,ok,6.2777777,71.7612,8.75
1208,ok,5.9074073,74.950584,6.3333335
592,ok,8.305555,78.24231,11.0
883,ok,2.388889,71.617,3.6666667
1772,ok,3.3333333,84.925476,4.0
368,ok,3.5,70.909096,4.0
750,ok,4.5555553,63.903446,6.5
967,ok,4.1666665,73.816185,5.0
69,ok,8.194445,66.88312,10.0
1458,ok,2.5444446,56.082336,3.4
977,ok,5.805556,72.51399,8.0
16,ok,8.694445,81.508484,9.5
517,ok,10.740741,62.11199,12.0
1136,ok,4.138889,71.638115,4.5
634,ok,4.351852,55.120163,6.3333335
1521,ok,2.1388888,69.74442,3.0
889,ok,3.4444447,83.48416,5.0
1235,ok,1.8333333,81.623436,3.0
945,ok,3.8333335,74.5,5.0
659,ok,9.333333,82.27272,10.333333
1474,ok,3.4444444,85.38465,3.5
224,ok,8.592592,57.58163,8.666667
256,ok,8.111111,70.43258,10.5
1142,ok,2.5,64.56459,3.0
306,ok,5.5,73.63637,6.5
540,ok,4.361111,67.315475,5.0
1627,ok,4.8333335,67.09331,6.0
504,ok,3.9444444,77.58621,5.0
863,ok,7.537037,60.629368,10.0
1777,ok,2.2777777,85.191826,3.0
392,ok,9.092593,78.78372,11.0
838,ok,14.416666,65.26943,11.5
T3517,ok,10.907407,56.997734,10.666667
1721,ok,5.5555553,53.666668,5.0
339,ok,7.75,76.0,9.0
1078,ok,19.694443,65.683945,14.5
1548,ok,11.222222,51.55054,12.5
131,ok,2.1944444,81.62875,5.0
523,ok,6.0277777,89.71983,8.0
927,ok,6.574074,67.36249,8.0
728,ok,22.527779,67.17112,18.5
897,ok,2.9166667,61.19516,4.5
448,ok,5.7222223,87.64841,6.0
643,ok,1.0555556,73.270706,1.0
